ip,app,device,os,channel,hour,day,minute,dayofweek,ip_click_count,app_click_count,device_click_count,os_click_count,channel_click_count,ip_hour_click_count,ip_app_click_count,ip_device_click_count,ip_channel_click_count,ip_unique_apps,ip_unique_devices,ip_unique_os,ip_unique_channels,time_since_prev_click_sec,very_fast_repeat_click,anomaly_score,anomaly_flag,conversion_probability,low_quality_score,anomaly_score_scaled,risk_score,decision
81377,3,2,42,280,16,6,3,0,50,65991,26018,836,22283,50,6,9,1,14,2,6,21,1.0,1,-0.16175672814431363,0,0.0019894189,0.9980106,0.22911716985146166,0.7673425361139773,monitor
48948,9,1,20,234,16,6,4,0,23,59537,467914,11883,2887,23,4,21,1,12,2,4,17,9.0,0,-0.21792353637232537,0,0.13281249,0.8671875,0.0822602477635384,0.6317093004872036,monitor
118590,12,1,13,178,16,6,3,0,18,69497,467914,110115,21830,18,6,18,5,5,1,1,6,0.0,1,-0.22572014422324116,0,0.0038755825,0.99612445,0.0618747947204545,0.7158495210882555,monitor
26475,12,1,9,265,16,6,6,0,17,69497,467914,12357,11005,17,3,16,1,11,2,5,14,20.0,0,-0.20613312655613997,0,0.005853006,0.994147,0.11308812191887775,0.7298293205821635,monitor
33532,2,1,14,237,16,6,0,0,4,53879,467914,7316,3587,4,1,4,1,4,1,2,3,-1.0,0,-0.1985212097937774,0,0.011567021,0.988433,0.13299067116775123,0.731800315669173,monitor
116963,14,1,19,401,16,6,2,0,23,17431,467914,120453,2552,23,1,23,1,9,1,6,13,0.0,1,-0.21868421702473612,0,0.08081837,0.91918164,0.08027132899052607,0.6675085322573385,monitor
126749,1,1,10,349,16,6,3,0,27,19091,467914,14836,1803,27,2,27,1,14,1,3,20,6.0,0,-0.21272969193953112,0,0.002060339,0.99793965,0.0958403679674003,0.727309844879661,monitor
119289,14,1,22,401,16,6,9,0,272,17431,467914,18179,2552,270,9,253,1,24,4,35,57,1.0,1,-0.11104903777186759,0,0.05410372,0.94589627,0.36170037280033357,0.7706374874428222,monitor
97005,12,1,15,259,16,6,9,0,2,69497,467914,11772,24335,2,1,2,1,2,1,1,2,3.0,1,-0.18848385187245031,0,0.02278432,0.9772157,0.15923491642087184,0.7318214521563335,monitor
119628,19,0,21,213,16,6,4,0,27,1275,1417,240,1220,27,11,11,11,7,2,6,9,123.0,0,-0.06033623573561986,0,0.08328175,0.91671824,0.4942969409952706,0.7899918534854098,monitor
65937,8,1,10,145,16,6,0,0,55,32361,467914,14836,31640,55,4,55,4,15,1,6,28,0.0,1,-0.20609710545855886,0,0.032004435,0.9679956,0.11318230472341803,0.7115516181061734,monitor
138868,15,1,13,245,16,6,4,0,32,56109,467914,110115,42657,32,5,32,6,12,1,2,21,87.0,0,-0.16764048288258848,0,0.016799968,0.9832,0.21373317103715223,0.7523599429760321,monitor
188727,20,1,18,259,16,6,8,0,61,7931,467914,24717,24335,61,27,61,30,6,1,2,7,8.0,0,-0.12655808290038084,0,0.003977439,0.9960226,0.32114954386858985,0.7935606586775448,monitor
89416,9,1,35,466,16,6,4,0,18,59537,467914,4928,1137,18,1,18,1,13,1,2,15,2.0,1,-0.22874454510074482,0,0.011710999,0.988289,0.053967024668306655,0.7079923706603797,monitor
90655,2,1,13,237,16,6,7,0,50,53879,467914,110115,3587,50,9,50,1,14,1,10,31,5.0,1,-0.20038437013747168,0,0.021798912,0.9782011,0.12811914647080827,0.7231765257253001,monitor
67187,26,1,3,121,16,6,9,0,42,3946,467914,7303,18947,42,1,42,11,11,1,3,16,8.0,0,-0.17527136879673405,0,0.0035644372,0.9964356,0.19378102396826086,0.7556391852346067,monitor
7595,3,1,18,409,16,6,5,0,25,65991,467914,24717,3343,25,4,25,2,10,1,6,17,0.0,1,-0.23388262755289363,0,0.005685616,0.9943144,0.04053270290137698,0.7081798776085417,monitor
151908,3,1,9,452,16,6,1,0,140,65991,467914,12357,3861,140,13,114,1,22,3,19,47,7.0,0,-0.12995505628402415,0,0.0058469553,0.994153,0.3122676246128032,0.7895874033201202,monitor
41662,2,1,19,477,16,6,9,0,38,53879,467914,120453,20041,38,5,38,3,9,1,5,15,1.0,1,-0.21843944057936093,0,0.0021954672,0.9978045,0.08091133536620426,0.7227365425280436,monitor
149664,15,1,13,140,16,6,4,0,22,56109,467914,110115,14757,22,2,22,2,10,1,2,11,1.0,1,-0.24418724924726182,0,0.08888563,0.9111144,0.01358965463037639,0.6418569666939835,monitor
23149,14,1,17,349,16,6,7,0,18,17431,467914,26717,1803,18,2,16,1,12,2,2,16,0.0,1,-0.20572885545277475,0,0.06556774,0.93443227,0.11414515207249248,0.6883461094797799,monitor
64055,11,1,8,319,16,6,7,0,28,4909,467914,15263,1124,28,2,28,1,13,1,3,22,17.0,0,-0.19973955828503265,0,0.040223103,0.9597769,0.12980510810833965,0.7107853592032843,monitor
19234,15,1,20,140,16,6,4,0,69,56109,467914,11883,14757,69,9,61,4,18,2,17,30,22.0,0,-0.18370620930830583,0,0.0063573234,0.9936427,0.17172681161559633,0.7470678891801745,monitor
110209,12,1,19,178,16,6,5,0,44,69497,467914,120453,21830,44,8,43,3,10,2,8,21,9.0,0,-0.1969380290557592,0,0.019935373,0.98006463,0.13713014530967493,0.7271842730278695,monitor
94536,3,1,19,280,16,6,6,0,31,65991,467914,120453,22283,31,1,31,1,7,1,4,8,1.0,1,-0.22968389516717447,0,0.08058493,0.91941506,0.05151094671281861,0.6590437939053556,monitor
155008,1,1,13,134,16,6,5,0,12,19091,467914,110115,43940,12,1,12,4,7,1,2,6,1.0,1,-0.20591097258016705,0,0.008459787,0.9915402,0.11366897830310622,0.7281788409022782,monitor
50991,1,1,13,150,16,6,5,0,9,19091,467914,110115,363,9,1,9,1,8,1,1,8,7.0,0,-0.20006723601168797,0,0.012158734,0.98784125,0.12894834334118363,0.7301733650400137,monitor
22852,11,1,41,319,16,6,3,0,17,4909,467914,6222,1124,17,1,17,1,11,1,2,15,3.0,1,-0.2075669027863356,0,0.059423476,0.94057655,0.10933928927603682,0.6912053622031907,monitor
47669,23,1,35,153,16,6,3,0,15,4782,467914,4928,11033,15,1,15,1,10,1,1,15,12.0,0,-0.20734414019669745,0,0.004682567,0.99531746,0.10992173697606973,0.7296987305464037,monitor
39081,8,1,48,145,16,6,7,0,78,32361,467914,518,31640,78,12,53,11,11,2,8,29,1.0,1,-0.19618903176072183,0,0.010455051,0.9895449,0.13908851611391995,0.7344079866045007,monitor
201182,3,1,17,480,16,6,8,0,1315,65991,467914,26717,4330,1314,175,1223,14,32,6,41,83,0.0,1,-0.007851459711983977,0,0.00072983914,0.99927014,0.6315266128686522,0.8889471005292968,block
72416,2,1,13,258,16,6,6,0,9,53879,467914,110115,3881,9,1,9,1,5,1,3,7,0.0,1,-0.22889679898407894,0,0.019718634,0.98028135,0.053568933030419506,0.7022676031650462,monitor
13597,2,1,13,477,16,6,1,0,410,53879,467914,110115,20041,410,32,349,11,23,2,20,65,1.0,1,-0.12940975972538293,0,0.000761311,0.99923867,0.3136933879195251,0.7935750793259918,monitor
76744,12,2,49,245,16,6,9,0,139,69497,26018,1780,42657,139,28,53,37,16,2,9,32,1.0,1,-0.07840101812332212,0,0.0005803873,0.9994196,0.44706373648636644,0.8337128437661919,block
91843,9,1,17,134,16,6,2,0,23,59537,467914,26717,43940,23,2,23,4,8,1,3,7,0.0,1,-0.22130885032232323,0,0.085513085,0.9144869,0.07340881392418323,0.6621634756477445,monitor
106524,12,1,18,259,16,6,2,0,161,69497,467914,24717,24335,158,38,139,19,17,3,19,40,1.0,1,-0.16046588422259866,0,0.004100537,0.99589944,0.23249228357466628,0.7668772922730225,monitor
166695,25,1,20,259,16,6,5,0,26,7340,467914,11883,24335,26,6,26,9,7,1,3,8,0.0,1,-0.2172514874532161,0,0.021577524,0.97842246,0.0840174249802363,0.7101009217498997,monitor
17149,12,1,19,245,16,6,7,0,661,69497,467914,120453,42657,661,109,529,60,27,4,42,64,0.0,1,-0.0463844739070195,0,0.004110078,0.9958899,0.5307760086954392,0.8563557340890394,block
70522,2,1,12,205,16,6,5,0,165,53879,467914,5578,10651,165,40,138,33,24,2,22,46,16.0,0,-0.10153992738088669,0,0.0013566971,0.9986433,0.38656343210298566,0.8150193369047605,block
29290,14,1,19,401,16,6,9,0,126,17431,467914,120453,2552,126,5,106,1,20,3,15,45,0.0,1,-0.157926418820458,0,0.02995611,0.9700439,0.2391321138315894,0.7507703505686968,monitor
60556,12,1,1,245,16,6,0,0,62,69497,467914,5347,42657,62,5,62,2,17,1,4,34,1.0,1,-0.18080628144369715,0,0.0016760372,0.998324,0.1793091274691976,0.7526195280967163,monitor
196134,64,1,10,459,16,6,2,0,12,6423,467914,14836,10801,12,6,12,12,2,1,1,1,5.0,1,-0.17628819781259397,0,0.005532433,0.99446756,0.19112236515765738,0.7534640050413768,monitor
136854,15,1,19,315,16,6,0,0,9,56109,467914,120453,2038,9,1,9,1,6,1,1,9,4.0,1,-0.19872653040368687,0,0.2587534,0.7412466,0.132453828257075,0.5586087671523544,monitor
187339,2,1,19,435,16,6,0,0,4,53879,467914,120453,3668,4,1,4,1,4,1,1,4,1.0,1,-0.20800918896624931,0,0.04121381,0.9587862,0.10818286274739247,0.7036051855530385,monitor
77048,1,1,19,134,16,6,2,0,463,19091,467914,120453,43940,463,15,391,30,26,5,36,66,0.0,1,-0.05736778126529629,0,0.0059196996,0.9940803,0.5020584303984097,0.846473742689164,block
91694,2,1,31,205,16,6,3,0,132,53879,467914,2155,10651,132,64,119,60,18,3,14,33,25.0,0,-0.08705665993327394,0,0.0016153174,0.99838465,0.4244322045370199,0.826198889724143,block
105475,9,1,25,134,16,6,3,0,1547,59537,467914,11933,43940,1547,155,1420,169,31,5,41,80,1.0,1,0.030931918107875545,1,0.019802403,0.9801976,0.7329318319737866,0.9060178814822422,block
67754,12,1,25,245,16,6,6,0,125,69497,467914,11933,42657,125,22,98,12,15,4,16,33,0.0,1,-0.14963696033480345,0,0.0016935694,0.99830645,0.2608062020944812,0.7770563719274777,monitor
6424,9,2,13,134,16,6,5,0,146,59537,26018,110115,43940,146,9,24,13,21,2,14,53,2.0,1,-0.10905278788708028,0,0.008588831,0.99141115,0.36691988095910455,0.8040637510575983,block
145896,9,1,9,215,16,6,8,0,137,59537,467914,12357,13005,137,20,130,2,19,2,21,41,3.0,1,-0.18473310526625925,0,0.028841382,0.9711586,0.16904183120728541,0.7305235501861602,monitor
125222,14,1,20,401,16,6,8,0,344,17431,467914,11883,2552,342,16,305,2,25,3,39,62,1.0,1,-0.11253037960474388,0,0.037291624,0.96270835,0.3578271724352147,0.7812439876070293,monitor
79130,3,1,19,489,16,6,0,0,25,65991,467914,120453,3755,25,3,25,2,14,1,1,18,7.0,0,-0.19380817129892347,0,0.0034711985,0.9965288,0.14531364889912532,0.7411642397998951,monitor
66507,15,1,17,245,16,6,3,0,76,56109,467914,26717,42657,76,14,68,5,15,2,16,41,19.0,0,-0.15081560118751453,0,0.0075234952,0.9924765,0.25772446087868056,0.7720508983489008,monitor
14290,21,2,19,128,16,6,7,0,28,10101,26018,120453,10067,28,3,2,3,11,2,5,17,4.0,1,-0.13702110146576163,0,0.007832135,0.9921679,0.2937923421557409,0.7826551958947081,monitor
32932,64,1,15,459,16,6,8,0,30,6423,467914,11772,10801,30,2,30,4,9,1,3,19,234.0,0,-0.1402365158952445,0,0.003318049,0.9966819,0.2853851372379537,0.7832928554528498,monitor
125271,9,1,19,134,16,6,9,0,29,59537,467914,120453,43940,29,7,29,7,10,1,3,14,0.0,1,-0.2017372997508941,0,0.024444152,0.97555584,0.12458169997710256,0.7202636138825961,monitor
4759,6,1,7,125,16,6,9,0,72,10944,467914,510,7820,72,1,72,1,7,1,4,14,0.0,1,-0.19371585126870866,0,0.0078042946,0.9921957,0.1455550340857176,0.7382034941925427,monitor
5314,3,1,17,130,16,6,3,0,1733,65991,467914,26717,3140,1732,236,1541,15,38,6,51,78,1.0,1,0.026633167633922206,1,0.0046340977,0.9953659,0.7216920751966881,0.9132637470554664,block
89562,18,1,19,107,16,6,9,0,87,38763,467914,120453,14818,87,2,79,2,14,2,15,26,11.0,0,-0.16951056111889373,0,0.10096795,0.89903206,0.20884355842586563,0.6919754771575815,monitor
381,6,1,17,125,16,6,1,0,11,10944,467914,26717,7820,11,2,7,2,6,2,4,6,-1.0,0,-0.18753259110940174,0,0.004742374,0.9952576,0.16172213675921132,0.7451969484160691,monitor
13001,12,1,19,259,16,6,9,0,116,69497,467914,120453,24335,116,26,86,10,17,3,11,41,59.0,0,-0.09801818806288387,0,0.0033312344,0.99666876,0.395771571446392,0.8163996066000858,block
212293,18,1,19,121,16,6,3,0,29,38763,467914,120453,18947,29,6,22,6,6,2,4,6,0.0,1,-0.21542292300237526,0,0.009760537,0.99023944,0.08879849329374524,0.7198071748458812,monitor
42103,9,1,8,244,16,6,5,0,62,59537,467914,15263,2155,62,12,50,1,11,2,10,24,1.0,1,-0.22094605010799184,0,0.055587705,0.9444123,0.07435741193946041,0.6833958094354148,monitor
128594,18,1,6,121,16,6,0,0,20,38763,467914,12778,18947,20,3,19,2,11,2,3,16,-1.0,0,-0.2059328721949913,0,0.011570119,0.9884299,0.11361171832823026,0.7259844244454601,monitor
42790,12,1,19,178,16,6,4,0,8,69497,467914,120453,21830,8,3,8,2,6,1,1,6,1.0,1,-0.22519323299452232,0,0.017177505,0.9828225,0.06325248670090468,0.7069514506802238,monitor
35588,15,1,6,265,16,6,1,0,32,56109,467914,12778,11005,32,4,31,2,12,2,5,24,5.0,1,-0.22243594828720653,0,0.0083986735,0.99160135,0.07046183966596332,0.7152594954460841,monitor
32714,14,1,13,401,16,6,3,0,5,17431,467914,110115,2552,5,1,5,1,4,1,1,5,0.0,1,-0.21138449369991597,0,0.12980963,0.8701904,0.09935759957269294,0.6389405234325989,monitor
172465,3,1,43,135,16,6,4,0,265,65991,467914,764,7919,264,42,248,4,22,3,29,62,0.0,1,-0.14813504160360674,0,0.00083901966,0.999161,0.2647332039848921,0.7788326647095667,monitor
49901,9,1,17,134,16,6,3,0,17,59537,467914,26717,43940,17,2,17,2,10,1,3,14,0.0,1,-0.2226959589954451,0,0.15743726,0.84256274,0.0697820009226471,0.6107285207937619,monitor
63949,15,1,19,245,16,6,6,0,39,56109,467914,120453,42657,39,4,38,3,11,2,10,12,0.0,1,-0.20075073789528963,0,0.018160634,0.98183936,0.12716122055401094,0.7254359352122238,monitor
129128,2,1,19,212,16,6,3,0,11,53879,467914,120453,3113,11,4,11,4,4,1,2,4,76.0,0,-0.18622713423558973,0,0.021189583,0.9788104,0.16513545833568893,0.734707950122777,monitor
95540,3,1,17,280,16,6,1,0,3,65991,467914,26717,22283,3,1,3,1,3,1,2,3,6.0,0,-0.19969354511484022,0,0.033798695,0.9662013,0.1299254167525933,0.7153185030355741,monitor
84901,18,1,13,439,16,6,7,0,68,38763,467914,110115,4807,68,12,66,2,16,3,8,31,19.0,0,-0.16370582696630326,0,0.05032419,0.9496758,0.2240209455354814,0.7319793306310118,monitor
36372,8,1,17,145,16,6,6,0,107,32361,467914,26717,31640,107,59,107,59,4,1,1,3,0.0,1,-0.11872717785785486,0,0.005496495,0.9945035,0.3416246722938975,0.7986398503423441,monitor
95894,15,1,13,111,16,6,3,0,84,56109,467914,110115,1081,84,11,84,1,18,1,3,25,1.0,1,-0.20569372129100388,0,0.009228503,0.9907715,0.11423701584436399,0.7278111414316234,monitor
3964,15,1,23,140,16,6,1,0,454,56109,467914,4844,14757,454,61,428,18,24,3,40,67,0.0,1,-0.11515780325661262,0,0.004837867,0.9951621,0.35095736155032237,0.8019006990466091,block
185314,11,1,19,319,16,6,6,0,31,4909,467914,120453,1124,31,2,31,1,14,1,1,25,3.0,1,-0.1850298197943619,0,0.396536,0.603464,0.16826602457502973,0.4729046006159171,allow
55876,2,2,13,364,16,6,5,0,38,53879,26018,110115,3222,38,36,7,36,3,2,12,3,9.0,0,-0.07080857800330931,0,0.0015871851,0.9984128,0.46691536100160574,0.8389635658009394,block
188225,20,1,18,259,16,6,9,0,20,7931,467914,24717,24335,20,5,20,7,6,1,1,7,0.0,1,-0.20015491856872114,0,0.017642893,0.9823571,0.1287190835549694,0.7262656903527457,monitor
97541,12,1,10,265,16,6,4,0,10,69497,467914,14836,11005,10,2,10,1,6,1,1,7,-1.0,0,-0.22024724815144014,0,0.019797096,0.9802029,0.0761845391650559,0.708997389127599,monitor
211346,15,1,13,245,16,6,2,0,11,56109,467914,110115,42657,11,1,11,1,5,1,2,5,0.0,1,-0.21668841207336415,0,0.0840754,0.9159246,0.08548967380115659,0.6667940984332241,monitor
32367,9,1,13,442,16,6,2,0,59,59537,467914,110115,10237,59,15,54,7,7,2,2,9,0.0,1,-0.20928597455647663,0,0.023830974,0.97616905,0.10484450673496229,0.7147716689569816,monitor
37424,9,1,13,442,16,6,7,0,137,59537,467914,110115,10237,137,18,115,6,14,2,17,26,5.0,1,-0.18473223403738265,0,0.07849994,0.9215001,0.16904410917171472,0.6957632815796394,monitor
142158,12,1,10,178,16,6,5,0,12,69497,467914,14836,21830,12,3,11,3,7,2,2,7,0.0,1,-0.22523520112653328,0,0.002691714,0.9973083,0.06314275444287981,0.7170586519859401,monitor
98688,64,1,19,459,16,6,5,0,2,6423,467914,120453,10801,2,1,2,2,2,1,1,1,-1.0,0,-0.18220082260801618,0,0.018516626,0.9814834,0.17566288105467082,0.7397372263426159,monitor
144133,12,1,13,409,16,6,1,0,14,69497,467914,110115,3343,14,1,14,1,10,1,1,13,9.0,0,-0.20667344972446955,0,0.04090536,0.95909464,0.11167536232051227,0.7048688234483509,monitor
122452,3,1,19,137,16,6,3,0,10,65991,467914,120453,5890,10,3,10,2,5,1,1,7,129.0,0,-0.17379303092290538,0,0.010053047,0.98994696,0.19764637001169527,0.7522567959064627,monitor
116713,2,2,6,364,16,6,6,0,61,53879,26018,12778,3222,61,45,10,44,10,2,14,12,8.0,0,-0.0821311979517817,0,0.0011121761,0.99888784,0.43731059676337913,0.8304146708426734,block
58760,25,1,8,259,16,6,6,0,20,7340,467914,15263,24335,20,4,20,4,6,1,2,10,1.0,1,-0.2182316490812271,0,0.023548212,0.9764518,0.08145463880135928,0.7079526556021998,monitor
38101,28,1,19,135,16,6,7,0,15,2411,467914,120453,7919,15,1,15,1,11,1,3,11,1.0,1,-0.21194090181160657,0,0.2751364,0.7248636,0.09790278336921703,0.5367753412172775,monitor
91536,2,1,25,205,16,6,0,0,212,53879,467914,11933,10651,212,75,156,71,16,2,20,31,2.0,1,-0.10635915878513191,0,0.0046903295,0.99530965,0.3739627963683749,0.8089055647367759,block
192398,64,1,13,459,16,6,9,0,6,6423,467914,110115,10801,6,3,6,6,2,1,1,1,0.0,1,-0.17968354246530638,0,0.023026718,0.9769733,0.18224470447413016,0.7385546941486355,monitor
161342,18,1,10,121,16,6,7,0,12,38763,467914,14836,18947,12,4,12,4,3,1,1,2,40.0,0,-0.1962111048271158,0,0.0046215025,0.9953785,0.13903080262273312,0.7384741867707066,monitor
42207,3,1,19,280,16,6,7,0,70,65991,467914,120453,22283,70,17,70,4,15,1,9,31,38.0,0,-0.16819876924720434,0,0.005675739,0.99432427,0.2122734438470597,0.7597090140310405,monitor
124519,3,1,25,280,16,6,9,0,22,65991,467914,11933,22283,22,2,22,2,6,1,4,7,1.0,1,-0.22144349744866865,0,0.020462483,0.9795375,0.07305675791162151,0.707593244452649,monitor
120647,2,1,19,477,16,6,9,0,9,53879,467914,120453,20041,9,3,7,2,5,2,2,7,121.0,0,-0.15030289666140628,0,0.0027077314,0.9972923,0.25906500720880393,0.7758240625378547,monitor
20134,3,1,31,137,16,6,5,0,18,65991,467914,2155,5890,18,6,14,2,5,2,6,10,1.0,1,-0.21512004651067507,0,0.0020504713,0.99794954,0.08959041134547628,0.7254417720318778,monitor
